#separator:tab
#html:true
#columns:Cue	Line	Deck	Tags
#deck column:3
#tags column:4
<b>Hierophant:</b> ...and I am the Expounder of the Mysteries. <i>Hierophant sits</i>	TAKE THY SEAT IN THE EAST, RA-HOOR-KHUIT, IN THY SECRET NAME AND SPLENDOUR ART THOU LORD INITIATING.	Neophyte::00. All	All
<b>Hierophant:</b> Let us adore the Universe and Space.	Holy art Thou, who art Universe!	Neophyte::00. All	All
Holy art Thou, who art Universe!	Holy art Thou, who art in Nature Formed!	Neophyte::00. All	All
Holy art Thou, who art in Nature Formed!	Holy art Thou, the Vast and the Mighty!	Neophyte::00. All	All
Holy art Thou, the Vast and the Mighty!	Source of Darkness, Source of Light!	Neophyte::00. All	All
<b>Hierophant:</b> ...For pure will unassuaged of purpose, delivered from the lust of result, is every way perfect.	THE PERFECT AND THE PERFECT ARE ONE PERFECT AND NOT TWO; NAY, ARE NONE!	Neophyte::00. All	All
<b>Hierophant:</b> ...and let them speak not of thee at all, since thou art continuous!	<i>(whispering)</i> NONE, BREATHED THE LIGHT, FAINT & FAERY, OF THE STARS AND TWO.	Neophyte::00. All	All
<i>(whispering)</i> NONE, BREATHED THE LIGHT, FAINT & FAERY, OF THE STARS AND TWO.	FOR I AM DIVIDED FOR LOVE'S SAKE, FOR THE CHANCE OF UNION.	Neophyte::00. All	All
FOR I AM DIVIDED FOR LOVE'S SAKE, FOR THE CHANCE OF UNION.	THIS IS THE CREATION OF THE WORLD,	Neophyte::00. All	All
THIS IS THE CREATION OF THE WORLD,	THAT THE PAIN OF DIVISION IS AS NOTHING, AND THE JOY OF DISSOLUTION ALL.	Neophyte::00. All	All
<b>Kerux:</b> ...has been duly admitted to the 0=0 Hall as a Neophyte of the Order of the Golden Dawn.	LOVE IS THE LAW, LOVE UNDER WILL.	Neophyte::00. All	All
<b>Hiereus:</b> <i>(!)</i> EXTENSION	May the benefit of this act, and all acts, be dedicated unto the Complete Liberation	Neophyte::00. All	All
May the benefit of this act, and all acts, be dedicated unto the Complete Liberation	and the Supreme Enlightenment of all beings everywhere pervading space and time. So mote it be.	Neophyte::00. All	All
and the Supreme Enlightenment of all beings everywhere pervading space and time. So mote it be.	May the benefits of practice, ours and others, come to fruition, ultimately and immediately,	Neophyte::00. All	All
May the benefits of practice, ours and others, come to fruition, ultimately and immediately,	and we remain in the state of presence—Ah!	Neophyte::00. All	All
