#separator:tab
#html:true
#columns:Cue	Line	Deck	Tags
#deck column:3
#tags column:4
<b>Hierophant:</b> Sr/Fr Hiereus, please guard the hither side of the portal and assure yourself that all present have witnessed the Golden Dawn.	Sodalii of the Order of the Golden Dawn, please rise <i>(wait for all to rise)</i> and give the signs of a Neophyte.	Neophyte::05. Hiereus::01. greeting	greeting Hiereus
Sodalii of the Order of the Golden Dawn, please rise <i>(wait for all to rise)</i> and give the signs of a Neophyte.<br><br><i>[Context: opening]</i>	Sr/Fr Hierophant, all present have been so honored.	Neophyte::05. Hiereus::01. greeting	greeting Hiereus
<b>Hierophant:</b> Sr/Fr Hiereus, how many Officers are there in this Hall?	There are three Principal Officers; the Hierophant, the Hiereus, and the Hegemon.	Neophyte::05. Hiereus::02. officers	officers Hiereus
<b>Hierophant:</b> Is there any peculiarity in these Names?	They all commence with the letter 'H'.	Neophyte::05. Hiereus::02. officers	officers Hiereus
<b>Hierophant:</b> Of what is this Letter a symbol?	Of Life; because the Letter H is our mode of representing the ancient Greek aspirate or breathing, and Breath is the evidence of Life.	Neophyte::05. Hiereus::02. officers	officers Hiereus
<b>Hierophant:</b> How many supporting Officers are there?	There are three besides the Sentinel; the Kerux, the Stolistes, and the Dadouchos.	Neophyte::05. Hiereus::02. officers	officers Hiereus
There are three besides the Sentinel; the Kerux, the Stolistes, and the Dadouchos.	The Sentinel is without the Portal of the Hall and has a Sword in their hand to keep out intruders.	Neophyte::05. Hiereus::02. officers	officers Hiereus
The Sentinel is without the Portal of the Hall and has a Sword in their hand to keep out intruders.	It is their duty to prepare the Aspirant.	Neophyte::05. Hiereus::02. officers	officers Hiereus
<b>Hierophant:</b> Sr/Fr Hiereus, your station and duties?	My station is on the Throne of the West and is a symbol of the increase of Darkness and the decrease of Light	Neophyte::05. Hiereus::02. officers	officers Hiereus
My station is on the Throne of the West and is a symbol of the increase of Darkness and the decrease of Light	and I am the Master of Darkness.	Neophyte::05. Hiereus::02. officers	officers Hiereus
and I am the Master of Darkness.	I keep the Gateway of the West and watch over the reception of the Aspirant	Neophyte::05. Hiereus::02. officers	officers Hiereus
I keep the Gateway of the West and watch over the reception of the Aspirant	and over the Supporting Officers in the doing of their work.	Neophyte::05. Hiereus::02. officers	officers Hiereus
and over the Supporting Officers in the doing of their work.	My black Robe is an image of the Darkness that was upon the Face of the Waters.	Neophyte::05. Hiereus::02. officers	officers Hiereus
My black Robe is an image of the Darkness that was upon the Face of the Waters.	I carry the Spear of Judgment and the Banner of the Evening Twilight, which is the Banner of the West,	Neophyte::05. Hiereus::02. officers	officers Hiereus
